"COMBO PRODUCT NAME";"Category";"Category ID";"Manufacturer";"Manufacturer ID";"Product Name";"Summary";"Description";"PRICE";"Box size (inches)";"Depth";"Width";"Height";"Net Weight (lbs)";"Item Number";"Images"
"";"Hammers";"16";"";"";"Tinsmith’s Hammer   ";"Special plastic hammer head of cylindric shape, light weight but strong, all-purpose metal working  ";"Special plastic hammer head of cylindric shape, light weight but strong, all-purpose metal working  ";"43.4";"4x8x16";"16";"8";"4";"2";"1007160";"http://dev.sheridantools.com/img/products/1007160.jpg"
"";"Hammers";"16";"";"";"Square Hammer (Thor Hammer) ";"Special plastic hammer head, light weight but strong all-purpose metal working hammer ";"Special plastic hammer head, light weight but strong all-purpose metal working hammer ";"39.8";"4x8x16";"16";"8";"4";"2";"1009026";"http://dev.sheridantools.com/img/products/1009026.jpg"
"";"Hammers";"16";"";"";"Wedge-Shaped Metal Working Hammer ";"Special plastic hammer head, light weight but strong, all-purpose metal working hammer ";"Special plastic hammer head, light weight but strong, all-purpose metal working hammer ";"45.9";"4x8x16";"16";"8";"4";"2";"1004928";"http://dev.sheridantools.com/img/products/1004928.jpg"
"Softface/Deadblow Hammer ";"Hammers";"16";"";"";"Softface/Deadblow Hammer ";" Available in small, medium and large.";"Available in:
Small: 1 3/8” head diameter 
Medium: 1 5/8” head diameter 
Large: 2” head diameter ";"49.9";"4x8x16";"16";"8";"4";"2";"1007178";"http://dev.sheridantools.com/img/products/1007178.jpg"
"";"Hammers";"16";"";"";"Tinsmith’s Angle Hammer ";"For corner shell iron, fine work surface polished ";"For corner shell iron, fine work surface polished ";"39";"4x6x12";"12";"6";"4";"1";"1004944";"http://dev.sheridantools.com/img/products/1004944.jpg"
"";"Hammers";"16";"";"";"Planishing & Grooving Hammer  ";"One face round and one slightly arched finely polished ";"One face round and one slightly arched finely polished ";"47";"4x6x12";"12";"6";"4";"1";"1004969";"http://dev.sheridantools.com/img/products/1004969.jpg"
"";"Hammers";"16";"";"";"Special Grooving Hammer ";"One vertical face, one horizontal face, finely polished ";"One vertical face, one horizontal face, finely polished ";"45.9";"4x6x12";"12";"6";"4";"1";"1004977";"http://dev.sheridantools.com/img/products/1004977.jpg"
"";"Hammers";"16";"";"";"Planishing Hammer ";"For sheet metal, both faces flat, one round and one square, finely polished ";"For sheet metal, both faces flat, one round and one square, finely polished ";"44.5";"4x6x12";"12";"6";"4";"1";"1007889";"http://dev.sheridantools.com/img/products/1007889.jpg"
"";"Hammers";"16";"";"";"Sheet Metal Hammer ";"With double-curved hickory handle. Secure connection of forged hammer head and steel by wedge bolt  ";"With double-curved hickory handle. Secure connection of forged hammer head and steel by wedge bolt  ";"47";"4x6x12";"12";"6";"4";"2";"1004951";"http://dev.sheridantools.com/img/products/1004951.jpg"
"";"Hammers";"16";"";"";"MASC Soft Face Hammer ";"";"";"49";"4x6x12";"12";"6";"4";"1";"1007780";"http://dev.sheridantools.com/img/products/1007780.jpg"
