"COMBO PRODUCT NAME";"Category";"Category ID";"Manufacturer";"Manufacturer ID";"Product Name";"Summary";"Description";"PRICE";"Box size (inches)";"Depth";"Width";"Height";"Net Weight (lbs)";"Item Number";"Images";"Tax Rule ID"
"";"Marking & Measuring";"18";"WUKO";"3";"WUKO Sheet Metal Scriber  ";"Made of stainless steel with rounded edges for pleasant handling, engraved scale on both sides ";"Made of stainless steel with rounded edges for pleasant handling, engraved scale on both sides ";"18";"";"";"";"";"1";"1009018";"http://dev.sheridantools.com/img/products/1009018.jpg";"38"
"";"Marking & Measuring";"18";"WUKO";"3";"WUKO Folding Ruler ";"Inches and matrices ";"Inches and matrices ";"12";"";"";"";"";"1";"1010321";"http://dev.sheridantools.com/img/products/1010321.jpg";"38"
