"COMBO PRODUCT NAME";"Category";"Category ID";"Manufacturer";"Manufacturer ID";"Product Name";"Summary";"Description";"PRICE";"Box size (inches)";"Depth";"Width";"Height";"Net Weight (lbs)";"Item Number";"Images";"Tax"
"";"Stretching & Shrinking Tools";"21";"";"";"KSM-115 Pro Stretching & Shrinking Tool ";"Operated by foot for exact control ";"
Working Depth: 6” 
High quality made in Sweden
Included one pair of stretching & shrinking jaws  
Operated by foot for exact control 
Floor base with wheels for easy moving Also available jaws for aluminum,  jaws easy to change ";"2990";"";"";"";"";"80";"1005107";"http://dev.sheridantools.com/img/products/1005107.jpg";"38"
"KSM-115 Stretching & Shrinking Jaws for Aluminum";"Stretching & Shrinking Tools";"21";"";"";"KSM-115 Stretching & Shrinking Jaws for Aluminum";"";"";"550";"";"";"";"";"5";"1007822";"http://dev.sheridantools.com/img/products/1007822.jpg";"38"
"";"Stretching & Shrinking Tools";"21";"";"";"ECKOLD Hand Stretching and Shrinking Pliers ";"Specially designed for making adjustments and corrections at the worksite. ";"Specially designed for making adjustments and corrections at the worksite. 
Included one pair of stretching & shrinking jaws 
Aluminum 0.078'' 
Steel 0.059'' 
Stainless Steel 0.039'' 
Weight 8.37, over-all-length 27'' ";"2920";"6x8x30";"30";"8";"6";"15";"1007848";"http://dev.sheridantools.com/img/products/1007848.jpg, http://dev.sheridantools.com/img/products/1007848_2.jpg, http://dev.sheridantools.com/img/products/1007848_3.jpg";"38"
