"COMBO PRODUCT NAME";"Category";"Product ID";"Product Name";"Short Description";"Description";"Working Width";"Bending Height";"Bending Height";"Bending Angle";"Seam Height";"PRICE";"Box size (inches)";"Depth";"Width";"Height";"Net Weight (lbs)";"Item Number"
"WUKO Master 0420";"3";"81";"Seam height   25mm (1 in)
Max. sheet metal thickness
Galvanized steel  0.7 mm (24 ga)
Aluminum, Copper, Zinc  0.8 mm (20 ga)
Stainless steel   0.5 mm (26 ga)
Motor    230 V/1.1 KW or 120 V/0.75 KW
Length     154 mm (60.6 in)
Width    131 cm (51.6 in)
Height    105 cm( 41.3 in)
Approx weight   350 kg (770 lbs)

Roof panel machine for making the profile for single and double-lock standing seams
Profiling
• Working width between 290 and 810 mm (11.5 to 32 in) continuously adjustable by handwheel over two spindles
• Inlet guides easily and precisely adjustable (measure correction on the profile)
• Eight hardened roll forming stations for a clean profile, poor in tension
• 8th forming station for aligning and/or curving the panels: convex or concave. Smallest radius about 6 m (20 ft)
• Cut-proof, extremely resilient polyurethane-coated drive rollers
• Electro-mechanic preset counter safely placed within the frame
• Also for profiling shirt [min.length about 500 mm (20 in) ] or tapered panels
Cutting
• Manual cross-cutting facility with handle turndown for safe transport
• Burr-free, clean cut
• Comfortable feed by handwheel

Model 0420
• Machine frame made of modular aluminum profile system
• Upper machine cover
• Easy to open swinging doors with safety switch
• Door panels made of transparent, impact-resistant polycarbonate
• Clear view during profiling process
• Easy access for adjustment and service
• Two fixed and two swivel casters with brakes
• Motor with frequency/converter for continuously variable working speed: 0-12m/ min (0-40 ft/min)
• Forward and backward run
Model 0420S
As model 0420, but with additional longitudinal – cutting facility. Desired panel width displayed and adjustable at the handwheel/position indicator.

";"";"";"";"32600";" crate ";"";"";"";"";"1005800";"";"";"";""
"WUKO Master 0420";"3";"81";"";"";"";"";"34800";" crate ";"";"";"";"";"1005818";"";"";"";""
"WUKO Pittsburgh Seam Closer 1004";"3";"86";"Working Width";"50""";"Seam Height";"5/16""";"2290";" 16x14x8 ";"";"";"";"13";"1006121";"";"";"";""
"WUKO Pittsburgh Seam Closer 1004";"3";"86";"Working Width";"50""";"Seam Height";"3/8""";"2290";" 16x14x8 ";"";"";"";"13";"1006139";"";"";"";""
"WUKO Pittsburgh Seam Closer 1004";"3";"86";"Working Width";"50""";"Seam Height";"1/2""";"2290";" 16x14x8 ";"";"";"";"13";"1006147";"";"";"";""
"WUKO Pittsburgh Seam Closer 1004 Jaws";"3";"87";"";"";"Seam Height";"16""";"278";"";"";"";"";"0.2";"1006154";"";"";"";""
"WUKO Pittsburgh Seam Closer 1004 Jaws";"3";"87";"";"";"Seam Height";"8""";"278";"";"";"";"";"0.2";"1006162";"";"";"";""
"WUKO Pittsburgh Seam Closer 1004 Jaws";"3";"87";"";"";"Seam Height";"2""";"278";"";"";"";"";"0.2";"1006170";"";"";"";""
"WUKO Sprinter 0410";"3";"82";" Lock seamer for closing the single or double – lock standing seam without changing forming rollers.
• For 25 mm (1 in) or 38 mm ( 1 ½ in) seam height
• Forward and backward run
• Two working speeds
• Variable pressure adjustment
• No damage to pained or coated materials
• Also for curved panels 
o Convex: min. radius 0.8 m (32 in)
o Concave min. radius 1.2 m ( 48 in)
• Inclu. Tough carrying case
• Optional equipment
• Automatic motor switch-off at the end of sheet metal panels. The sensors are safely placed in aluminum casings. Available configurations:
o Front
o Front and rear
Accessories
• Set of cutting rollers for removal of old standing seam panels
• Guide wheels for 25 mm (1 in) 32 mm (1 ¼ in) or 38 mm ( 1 ½ in) seam height 
Max. Sheet metal thickness;
Galvanized steel   0.65 mm  (24 ga)
Aluminum, Copper Zinc   0.80 mm   (20 ga)
Stainless steel   0.50 mm (26 ga)
Working speeds   7/12 m/min  (23/40 ft/min)
Standard Voltage  230 V/120 V
Weight    19.9 kg (42lbs)

";"";"Seam Height";"1""";"5390";" 24x16x16 ";"";"";"";"63";"1005826";"";"";"";""
"WUKO Sprinter 0410";"3";"82";"";"";"Seam Height";"1½""";"5440";" 24x16x16 ";"";"";"";"63";"1014554";"";"";"";""
"WUKO Sprinter 0410 Rollers";"3";"76";"";"";"Seam Height";"1""";"160";"";"";"";"";"0.1";"1004134";"";"";"";""
"WUKO Sprinter 0410 Rollers";"3";"76";"";"";"Seam Height";"1 1/2""";"190";"";"";"";"";"0.1";"1007723";"";"";"";""
"WUKO Sprinter 0410 Rollers";"3";"76";"";"";"";"";"450";"";"";"";"";"2";"1005834";"";"";"";""
