"COMBO PRODUCT NAME";"Category";"Product Name";"Summary";"Description";"Working Width";"Bending Height";"Bending Angle";"Seam Height";"PRICE";"Box size (inches)";"Depth";"Width";"Height";"Net Weight (lbs)";"Item Number";"Images"
"";"11";"WUKO Bender Set 2020/4010";"";"";"";"";"";"";"721";" 12x12x8 ";"12";"12";"8";"6";"1005594";"http://dev.sheridantools.com/img/products/1005594.jpg"
"";"11";"WUKO Bender Set 2050/4040";"";"";"";"";"";"";"799";" 12x12x8 ";"12";"12";"8";"6";"1005628";"http://dev.sheridantools.com/img/products/1005628.jpg"
"";"11";"WUKO Bender Set 3200/4000";"Includes the WUKO Duo Bender 3200, the WUKO Disc-O-Bender 4000 and a carrying case!";"This couple enables quick, easy and clean bending/forming of long and straight sheet metal strips. Go to 90 and continue at 180";"";"";"";"";"1389";" 20x18x10 ";"20";"18";"10";"18";"1005693";"http://dev.sheridantools.com/img/products/nophoto.jpg"
"";"11";"WUKO Bender Set 3350+/4000";"";"";"";"";"";"";"1430";" 24x20x8 ";"24";"20";"8";"19";"1005701";"http://dev.sheridantools.com/img/products/1005701.jpg"
"Bender Set Cases";"11";"Bender Set Cases";"The utimate protection for your WUKO tools!";"";"";"";"";"";"34";"";"";"";"";"2";"1005719";"http://dev.sheridantools.com/img/products/nophoto.jpg"
"";"11";"WUKO Bender Set 7200/4000";"";"";"";"";"";"";"1450";" 20x18x10 ";"20";"18";"10";"21";"1005883";"http://dev.sheridantools.com/img/products/1005883.jpg"
"";"11";"WUKO Bender Set 2204/4040";"Includes the WUKO Uni Bender 2204, the WUKO Disc-O-Bender 4040 Twist and a carrying case!";"The ideal combination for bending/forming straight and curved pieces up to 90 and for bending 90 up to 180";"";"";"";"";"885";"";"";"";"";"9";"1007939";"http://dev.sheridantools.com/img/products/1007939.jpg"
"";"11";"WUKO Bender Set 6200/4040";"";"";"";"";"";"";"963";"";"";"";"";"9";"1007954";"http://dev.sheridantools.com/img/products/1007954.jpg"
"";"11";"WUKO Bender Anniversary Set 2050/2204/4010";"";"";"";"";"";"";"1185";" 16x14x8 ";"16";"14";"8";"12";"1007970";"http://dev.sheridantools.com/img/products/1007970.jpg"
"";"11";"WUKO Bender Anniversary Set 2050/2204/4040";"Includes the WUKO mini 2050, the WUKO Uni Bender 2204, the WUKO Disc-O-Bender Twist 4040, our anniversary folding ruler and a carrying case. Great for use on the job sites!";"";"";"";"";"";"1218";" 16x14x8 ";"16";"14";"8";"12";"1007988";"http://dev.sheridantools.com/img/products/1007988.jpg"
"";"11";"WUKO Bender Set 2204/3200";"Includes the WUKO Uni Bender 2204, the WUKO Duo Bender 3200 and a carrying case!";"For easy bending/forming curved as well as long, straight sheet metal pieces up to 90";"";"";"";"";"1069";" 20x18x10 ";"20";"18";"10";"16";"1007996";"http://dev.sheridantools.com/img/products/1007996.jpg"
"";"11";"WUKO Bender Set 6200/8200";"";"";"";"";"";"";"1366";" 20x18x10 ";"20";"18";"10";"16";"1008127";"http://dev.sheridantools.com/img/products/1008127.jpg"
"";"11";"WUKO Bender Set 7350+/4000";"";"";"";"";"";"";"1510";" 24x20x8 ";"24";"20";"8";"23";"1009505";"http://dev.sheridantools.com/img/products/1009505.jpg"
"";"11";"WUKO Bender Anniversary Set 2050/6200/4040";"";"";"";"";"";"";"1254";"";"";"";"";"12";"1011105";"http://dev.sheridantools.com/img/products/1011105.jpg"
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
