"COMBO PRODUCT NAME";"Category";"Category ID";"Manufacturer";"Manufacturer ID";"Product Name";"Summary";"Description";"PRICE";"Box size (inches)";"Depth";"Width";"Height";"Net Weight (lbs)";"Item Number";"Images";"Tax"
"";"Premium Tool Sets";"19";"WUKO";"3";"WUKO Craftsmen Set ";"";"Delivered in a Box, includes the following:
1004811 WUKO Mini Pliers
1004860 WUKO Clinching Pliers
1004845 WUKO Round Nose Pliers 
1004886 WUKO Straight Clinching Pliers Deep Throat 
1005008 WUKO Seaming Angle with Blade End 
1004928 PVC Wedge Hammer from PICARD 
1004696 Punch Snips with Curved Blades from BESSEY (Right and left cutting)
1004704 Punch Snips with Curved Blades from BESSEY (Right and left cutting)
1009018 WUKO Scriber 
1010321 WUKO Folding Ruler ";"529";"26x14x14";"26";"14";"14";"25";"1005206";"http://dev.sheridantools.com/img/products/1005206.jpg, http://dev.sheridantools.com/img/products/1005206_2.jpg";"38"
"";"Premium Tool Sets";"19";"WUKO";"3";"WUKO Company Set ";"";"Partly Delivered in a Box, includes:
1005081 Single-Lock Hand Seamer, RAU 111 
1005099 Double-Lock Hand Seamer, RAU 117 
1005065 Eaves Folder, RAU 105  
1005073 Eaves Seamer, RAU 106 
1004878 WUKO Clinching Pliers 90° bent
1006956 Right cutting snips
1004837 WUKO Standing Seam Opener
1004894 WUKO Corner Clinching Pliers
1005024 WUKO Seaming Iron for Curves 
1004969 Planishing & Grooving Hammer  
1005180 WUKO Large Straight Seaming Pliers 24""
1005016 WUKO Pocket Pan Former 
1013705 Tool Box without Tools ";"1950";"26x14x14";"26";"14";"14";"50";"1005214";"http://dev.sheridantools.com/img/products/1005214.jpg, http://dev.sheridantools.com/img/products/1005214_2.jpg";"38"
