"Product ID";"COMBO PRODUCT NAME";"Category";"Category ID";"Manufacturer";"Manufacturer ID";"Product Name";"Attribute";"Value";"Summary";"Description";"PRICE";"Box size (inches)";"Depth";"Width";"Height";"Net Weight (lbs)";"Item Number";"Images"
"131";"Softface/Deadblow Hammer ";"Hammers";"16";"";"";"Small: 1 3/8” head diameter ";"Size";"1 3/8""";"";"";"49.9";"4x8x16";"16";"8";"4";"2";"1007178";"http://dev.sheridantools.com/img/products/1007178.jpg"
"131";"Softface/Deadblow Hammer ";"Hammers";"16";"";"";"Medium: 1 5/8” head diameter ";"Size";"1 5/8""";"";"";"54.2";"4x8x16";"16";"8";"4";"3";"1004936";"http://dev.sheridantools.com/img/products/1004936.jpg"
"131";"Softface/Deadblow Hammer ";"Hammers";"16";"";"";"Large: 2” head diameter ";"Size";"2""";"";"";"59";"4x8x16";"16";"8";"4";"4";"1014364";"http://dev.sheridantools.com/img/products/1014364.jpg"
