"COMBO PRODUCT NAME";"Category";"Category ID";"Manufacturer";"Manufacturer ID";"Product Name";"Summary";"Description";"PRICE";"Box size (inches)";"Depth";"Width";"Height";"Net Weight (lbs)";"Item Number";"Images"
"HSS Shape and Straight Cutting Snips";"Snips";"13";"Erdi / BESSEY";"5";"HSS Shape and Straight Cutting Snips";"Case-hardened, high-speed steel edges designed for right, left and straight cutting.";"▪ High quality steel HRC up to 65 
▪ Case-hardened, high-speed steel edges 
";"128";"4x4x12";"12";"4";"4";"2";"1004738";"http://dev.sheridantools.com/img/products/1004738.jpg"
"";"Snips";"13";"Erdi / BESSEY";"5";"Shape and Straight Cutting Snips Set";"Set includes right, left and mini snips for right cutting.";"▪ High quality steel – HRC up to 61   
▪ For continuous, straight and shaped cuts 
▪ Compact cutter head for easier shape cutting 
▪ Optimized leverage ratio 25 % less effort 
▪ No slipping even without serrations
▪ Ergonomic handle with standard plastic coating and an anti-slip protection 
• Set of 3 snips includes:  1005123 Right cutting snips, 
1005131 Left cutting snips, 
1005149 Mini snips for right cutting, 
Nylon storage pouch.";"84";"4x4x12";"12";"4";"4";"4";"1017516";"http://dev.sheridantools.com/img/products/1017516.jpg, http://dev.sheridantools.com/img/products/1017516_2.jpg"
"";"Snips";"13";"Erdi / BESSEY";"5";"Mini Shape & Straight Cutting Snips Set";"Set includes straight, right and left cutting snips.";"▪ All the power of a full-size aviation snips but    
  25 % smaller, the best for small cutting areas 
▪ High quality steel – HRC up to 61  
▪ Ergonomic handle with standard plastic coating and an anti-slip protection 
• Set of 3 snips includes :1014356 Straight cutting snips, 1005149 Right cutting snips, 1006923 Left cutting snips.";"49.8";"4x4x8";"8";"4";"4";"4";"1017524";"http://dev.sheridantools.com/img/products/1017524.jpg"
"";"Snips";"13";"Erdi / BESSEY";"5";"Latest Generation of Leverage Snips: Shape & Straight Cutting Snips Set";"Set includes right and left cutting snips.";"▪ Easy to hold – Smooth Cutting Action 
▪ Extremely compact cutter head 
▪ These snips enable more capacity, precision and comfort with easier 
• Set of 2 snips includes: 1008507 Right cutting snips and 1008515 Left cutting snips";"89.9";"4x4x12";"12";"4";"4";"3";"1017532";"http://dev.sheridantools.com/img/products/1017532.jpg"
"";"Snips";"13";"Erdi / BESSEY";"5";"Straight Cutting Snips Set";"Set includes right and left cutting snips.";"▪ For continuous, straight cuts ▪ High quality steel – HRC up to 61 
▪ Ergo-handle for increased comfort and     reduced hand fatigue.  
▪ Edges with micro-serrations for slip proof working   
• Set of 2 snips includes: 1006956 Right cutting snips and 1006964 Left cutting snips";"78";"4x4x12";"12";"4";"4";"3";"1017540";"http://dev.sheridantools.com/img/products/1017540.jpg"
"";"Snips";"13";"Erdi / BESSEY";"5";"Compound Leverage Aviation Snips Set";"Set includes straight, right and left cutting snips.";"Compound Leverage Aviation Snips  
▪ For short, straight and shaped cuts 
▪ High quality steel – HRC 58-60 
▪ Edges with micro-serrations for slip proof working  
• Set of 3 snips includes: 1005156 Straight cutting snips, 1005164 Right cutting snips, 1005172 Left cutting snips and nylon storage pouch.";"75";"4x4x12";"12";"4";"4";"4";"1017557";"http://dev.sheridantools.com/img/products/1017557.jpg"
"";"Snips";"13";"Erdi / BESSEY";"5";"Punch Snips with Curved Blade Set";"Set includes right and left cutting snips.";" ▪ Especially for circular cuts    
 ▪ High quality steel        
▪ Semi-circular edges   
• Set of 2 snips includes: 1004696 Right cutting snips and 1004704 Left cutting snips";"122";"4x4x12";"12";"4";"4";"4";"1017565";"http://dev.sheridantools.com/img/products/1017565.jpg"
"";"Snips";"13";"Erdi / BESSEY";"5";"Shape and Straight Cutting Snips Set";"Set includes right and left cutting snips.";"▪ Without opening stop 
▪ With extra pointed cutter head 
▪ Extremely robust for challenging situations 
• Set of 2 snips includes: 1013671 Right cutting snips and 1013689 Left cutting snips";"107";"4x4x12";"12";"4";"4";"5";"1017573";"http://dev.sheridantools.com/img/products/1017573.jpg"
"";"Snips";"13";"Erdi / BESSEY";"5";"Pelican Snips Set";"Set includes right and left cutting snips.";"▪ Extra-long blade for long, straight, continuous cutting  
▪ High quality steel       
▪ Painted handles   
• Set of 2 snips includes: 1004753 Right cutting snips and 1004761 Left cutting snips";"90";"4x4x14";"14";"4";"4";"5";"1017581";"http://dev.sheridantools.com/img/products/1017581.jpg"
