"COMBO PRODUCT NAME";"Category";"Product Name";"Summary";"Description";"Working Width";"Bending Height";"Bending Angle";"Seam Height";"PRICE";"Box size (inches)";"Depth";"Width";"Height";"Net Weight (lbs)";"Item Number";"Images"
"WUKO Sprinter 0410 Rollers";"3";"WUKO Sprinter 0410 Rollers";"Set of Rollers for WUKO Sprinter 0410";"";"";"";"";"Seam Height: 1""";"160";"";"";"";"";"0.1";"1004134";"http://dev.sheridantools.com/img/products/nophoto.jpg"
"";"3";"WUKO Roof Profiling Machine 1008";"Power tool creating the profile for single and double -lock standing seams on bent panels.";"• Adjustable for different edging heights
• Also for separate profiling of both sides of the panel
• Profiles straight from start of trays. Can also be used for small roof surfaces, slanting, angular and off-set elements
• Enables profiling in narrow places: minimum distance between seam centers (bay width) about 8cm (3 3/16 in)
• Also for mirror covering
• Standard machine for domed roofs; down to a min. radius of 2 m (80 in) Even smaller radius of 0.8 m ( 32 in) achievable by using a round rail 
• Inclusive of carrying case
";"";"";"";"";"2390";" 20x18x10 ";"20";"18";"10";"23";"1005768";"http://dev.sheridantools.com/img/products/1005768.jpg, http://dev.sheridantools.com/img/products/1005768_2.jpg"
"";"3";"WUKO Roof Seaming Machine 1006";"Power tool for closing the single or double lock standing seam.";"• Adjustable for different seam heights
• Closes straight from start of panels. Can also be used for small roof surfaces, slanting, angular and off-set elements
• Single or double-lock standing seam in one working cycle
• For domed roofs down to a min. radius of 0.2 m (8 in)
• Small width of about 17 cm (6 ¾) in allows seaming of very narrow panels, e.g. conical panels
• Can be removed from the seam at any time
• Including carrying case

Min. seam height  25 mm (1 in)
Max. Sheet metal thickness;
Galvanized steel   0.75 mm  (24 ga)
Aluminum, Copper Zinc   0.80 mm   (20 ga)
Power rating    500 W
Standard voltage  230 V/120V  
Weight    5.3 kg (12 lbs)
";"";"";"";"";"2280";" 20x18x10 ";"20";"18";"10";"19";"1005776";"http://dev.sheridantools.com/img/products/1005776.jpg, http://dev.sheridantools.com/img/products/1005776_2.jpg, http://dev.sheridantools.com/img/products/1005776_3.jpg"
"";"3";"Round Rail for WUKO Roof Profiling Machine 1008";"";"Min. Profile height  25 mm (1 in)
Max. Sheet metal thickness;
Galvanized steel   0.75 mm  (24 ga)
Aluminum, Copper Zinc   0.80 mm   (20 ga)
Power rating    500 W
Standard voltage  230 V/120V  
Weight    7.6 kg (16.7 lbs)
";"";"";"";"";"480";"";"";"";"";"";"1005784";"http://dev.sheridantools.com/img/products/1005784.jpg"
"";"3";"WUKO Lock'n'Roller 1040";"Tool for closing the single-lock standing seam.";"• Closes the profile in both directions
• Clever system of eccentric lever with disc springs, adjustment of the pressure if necessary
• Clean and precise result regardless of material
• Simple removal of the tool from the seam at any time and without scratching by relieving the pressure
• Ergonomic handles on top and handlebars on the sides of the tools
• Stainless steel forming rollers
• Rope-typing device included
• Including carrying case

Max. Sheet metal thickness;
Galvanized steel   0.65 mm  (24 ga)
Aluminum, Copper Zinc   0.80 mm   (20 ga)
Stainless steel   0.50 mm (26 ga)
Width of the profile  12-15 mm (0.47 -0.59 in)
Tool length   270 mm (10.6 in)
Weight    2.9 kg (5 lbs)
";"";"";"";"";"980";" 12x12x6 ";"12";"12";"6";"10";"1005792";"http://dev.sheridantools.com/img/products/nophoto.jpg"
"WUKO Master 0420";"3";"WUKO Master 0420";"Roof panel machine for making the profile for single and double-lock standing seams";"Seam height   25mm (1 in)
Max. sheet metal thickness
Galvanized steel  0.7 mm (24 ga)
Aluminum, Copper, Zinc  0.8 mm (20 ga)
Stainless steel   0.5 mm (26 ga)
Motor    230 V/1.1 KW or 120 V/0.75 KW
Length     154 mm (60.6 in)
Width    131 cm (51.6 in)
Height    105 cm( 41.3 in)
Approx weight   350 kg (770 lbs)

Roof panel machine for making the profile for single and double-lock standing seams
Profiling
• Working width between 290 and 810 mm (11.5 to 32 in) continuously adjustable by handwheel over two spindles
• Inlet guides easily and precisely adjustable (measure correction on the profile)
• Eight hardened roll forming stations for a clean profile, poor in tension
• 8th forming station for aligning and/or curving the panels: convex or concave. Smallest radius about 6 m (20 ft)
• Cut-proof, extremely resilient polyurethane-coated drive rollers
• Electro-mechanic preset counter safely placed within the frame
• Also for profiling shirt [min.length about 500 mm (20 in) ] or tapered panels
Cutting
• Manual cross-cutting facility with handle turndown for safe transport
• Burr-free, clean cut
• Comfortable feed by handwheel

Model 0420
• Machine frame made of modular aluminum profile system
• Upper machine cover
• Easy to open swinging doors with safety switch
• Door panels made of transparent, impact-resistant polycarbonate
• Clear view during profiling process
• Easy access for adjustment and service
• Two fixed and two swivel casters with brakes
• Motor with frequency/converter for continuously variable working speed: 0-12m/ min (0-40 ft/min)
• Forward and backward run
Model 0420S
As model 0420, but with additional longitudinal – cutting facility. Desired panel width displayed and adjustable at the handwheel/position indicator.

";"";"";"";"";"32600";" crate ";"";"";"";"";"1005800";"http://dev.sheridantools.com/img/products/1005800.jpg, http://dev.sheridantools.com/img/products/1005800_2.jpg"
"WUKO Sprinter 0410";"3";"WUKO Sprinter 0410/1""";"Lock seamer for closing the single or double – lock standing seam without changing forming rollers.";" Lock seamer for closing the single or double – lock standing seam without changing forming rollers.
• For 25 mm (1 in) or 38 mm ( 1 ½ in) seam height
• Forward and backward run
• Two working speeds
• Variable pressure adjustment
• No damage to pained or coated materials
• Also for curved panels 
o Convex: min. radius 0.8 m (32 in)
o Concave min. radius 1.2 m ( 48 in)
• Inclu. Tough carrying case
• Optional equipment
• Automatic motor switch-off at the end of sheet metal panels. The sensors are safely placed in aluminum casings. Available configurations:
o Front
o Front and rear
Accessories
• Set of cutting rollers for removal of old standing seam panels
• Guide wheels for 25 mm (1 in) 32 mm (1 ¼ in) or 38 mm ( 1 ½ in) seam height 
Max. Sheet metal thickness;
Galvanized steel   0.65 mm  (24 ga)
Aluminum, Copper Zinc   0.80 mm   (20 ga)
Stainless steel   0.50 mm (26 ga)
Working speeds   7/12 m/min  (23/40 ft/min)
Standard Voltage  230 V/120 V
Weight    19.9 kg (42lbs)

";"";"";"";"Seam Height: 1""";"5390";" 24x16x16 ";"24";"16";"16";"63";"1005826";"http://dev.sheridantools.com/img/products/1005826.jpg, http://dev.sheridantools.com/img/products/1005826_2.jpg"
"";"3";"WUKO Seam Closer 1003A";"Closing of an offset to a standing seam on straight and round [ min. radius 80 mm ( 3 in)] work pieces";"Standard seam height  5-12 mm ( 3/16 – ½ in) 
Max. Sheet metal thickness;
Galvanized steel   1.00 mm  (20 ga)
Stainless steel   0.60 mm (20 ga)
Working speeds   4-6 m/min  (13-19 ft/min)
Standard Voltage  230 V/120 V
Weight    3.75 kg (8.3 lbs)
";"";"";"";"Seam Height: 3/16-1/2""";"2120";" 16x14x8 ";"16";"14";"8";"13";"1005842";"http://dev.sheridantools.com/img/products/1005842.jpg, http://dev.sheridantools.com/img/products/1005842_2.jpg, http://dev.sheridantools.com/img/products/1005842_3.jpg"
"";"3";"WUKO Seam Closer 1003A Special Jaws";"Special jaws for a seam height of 1/8-1/4""";"";"";"";"";"Seam Height: 1/8-1/4""";"254";"";"";"";"";"0.4";"1005859";"http://dev.sheridantools.com/img/products/nophoto.jpg"
"";"3";"WUKO Seam Closer 1003B";"Closer of an offset standing seam on straight and round [min. radius 150 mm ( 6in) ] work pieces ";"Seam height   6-14 mm ( ¼ - 9/16 in) 
Max. Sheet metal thickness;
Galvanized steel   1.00 – 1.50 mm  (20-17 ga)
Aluminum   1.00 – 2.00 mm   (18-12 ga)
Stainless steel   1.00 – 1.25 mm (20 - 18 ga)
Working speeds   4-6 m/min  (13-19 ft/min)
Standard Voltage  230 V/120 V
Weight    4.5 kg (10.3 lbs)
";"";"";"";"Seam Height: 1/4-9/16""";"2260";" 16x14x8 ";"16";"14";"8";"13";"1005867";"http://dev.sheridantools.com/img/products/1005867.jpg, http://dev.sheridantools.com/img/products/1005867_2.jpg, http://dev.sheridantools.com/img/products/1005867_3.jpg, http://dev.sheridantools.com/img/products/1005867_4.jpg"
