"COMBO PRODUCT NAME";"Category";"Category ID";"Manufacturer";"Manufacturer ID";"Product Name";"Summary";"Description";"PRICE";"Box size (inches)";"Depth";"Width";"Height";"Net Weight (lbs)";"Item Number";"Images"
"";"Notchers & Nibblers";"14";"";"";"Sheet Metal Notcher";"Max. notch depth 7/8”, for metal and vinyl ";"Max. notch depth 7/8”, for metal and vinyl ";"99";"4x4x12";"12";"4";"4";"2";"1004787";"http://dev.sheridantools.com/img/products/1004787.jpg"
"";"Notchers & Nibblers";"14";"";"";"Large Nibbler";"Max. sheet metal thickness 22 gauge 
1 3/8 in x 1/8 in ";"Max. sheet metal thickness 22 gauge 
1 3/8 in x 1/8 in ";"124";"4x4x12";"12";"4";"4";"2";"1015551";"http://dev.sheridantools.com/img/products/1015551.jpg"
"";"Notchers & Nibblers";"14";"";"";"MASC Marking Pliers";"Marking Pliers with metric scale ";"Marking Pliers with metric scale ";"119";"4x4x12";"12";"4";"4";"2";"1013697";"http://dev.sheridantools.com/img/products/1013697.jpg"
