"COMBO PRODUCT NAME";"Category";"Category ID";"Manufacturer";"Manufacturer ID";"Product Name";"Summary";"Description";"PRICE";"Box size (inches)";"Depth";"Width";"Height";"Net Weight (lbs)";"Item Number";"Images"
"";"Pliers";"15";"WUKO";"3";"WUKO Mini Pliers straight";" 7/8″ jaw width ";" 7/8″ jaw width ";"44";"4x4x8";"8";"4";"4";"1";"1004829";"http://dev.sheridantools.com/img/products/1004829.jpg"
"";"Pliers";"15";"WUKO";"3";"WUKO Mini Pliers 45° bent";" 7/8″ jaw width ";" 7/8″ jaw width ";"45";"4x4x8";"8";"4";"4";"1";"1004811";"http://dev.sheridantools.com/img/products/1004811.jpg"
"";"Pliers";"15";"WUKO";"3";"WUKO Straight Clinching Pliers";"1 9/16"" jaw width, lap joint";"1 9/16"" jaw width, lap joint";"58";"4x4x12";"12";"4";"4";"2";"1010164";"http://dev.sheridantools.com/img/products/1010164.jpg"
"";"Pliers";"15";"WUKO";"3";"WUKO Clinching Pliers 45° bent";"1 9/16"" jaw width, lap joint";"1 9/16"" jaw width, lap joint";"63";"4x4x12";"12";"4";"4";"2";"1010172";"http://dev.sheridantools.com/img/products/1010172.jpg"
"";"Pliers";"15";"WUKO";"3";"WUKO Straight Clinching Pliers";"2 3/8"" jaw width, lap joint";"2 3/8"" jaw width, lap joint";"50";"4x4x12";"12";"4";"4";"2";"1004902";"http://dev.sheridantools.com/img/products/1004902.jpg"
"";"Pliers";"15";"WUKO";"3";"WUKO Clinching Pliers 45° bent";"2 3/8"" jaw width, lap joint";"2 3/8"" jaw width, lap joint";"57";"4x4x12";"12";"4";"4";"2";"1004860";"http://dev.sheridantools.com/img/products/1004860.jpg"
"";"Pliers";"15";"WUKO";"3";"WUKO Clinching Pliers 90° bent";"2 3/8"" jaw width, lap joint";"2 3/8"" jaw width, lap joint";"59";"4x4x12";"12";"4";"4";"2";"1004878";"http://dev.sheridantools.com/img/products/1004878.jpg"
"";"Pliers";"15";"WUKO";"3";"WUKO Heavy Duty Clinching Pliers straight";"4"" jaw width, lap joint ";"4"" jaw width, lap joint ";"110";"6x6x14";"14";"6";"6";"4";"1005248";"http://dev.sheridantools.com/img/products/1005248.jpg"
"";"Pliers";"15";"WUKO";"3";"WUKO Heavy Duty Clinching Pliers 45° bent";"4"" jaw width, lap joint ";"4"" jaw width, lap joint ";"114";"6x6x14";"14";"6";"6";"4";"1010180";"http://dev.sheridantools.com/img/products/1010180.jpg"
"";"Pliers";"15";"WUKO";"3";"WUKO Corner Clinching Pliers";"2  3/8"" jaw width, lap joint, squared off one side to fit against a wall ";"2  3/8"" jaw width, lap joint, squared off one side to fit against a wall ";"73";"4x4x12";"12";"4";"4";"2";"1004894";"http://dev.sheridantools.com/img/products/1004894.jpg"
"";"Pliers";"15";"WUKO";"3";"WUKO Deep Depth Clinching Pliers straight";"Deep seaming depth 3″, 3 1/8″ jaw width, lap joint,  
45° angle useful for folding roof pitch transitions ";"Deep seaming depth 3″, 3 1/8″ jaw width, lap joint,  
45° angle useful for folding roof pitch transitions ";"88";"4x4x14";"14";"4";"4";"2";"1004886";"http://dev.sheridantools.com/img/products/1004886.jpg"
"";"Pliers";"15";"WUKO";"3";"WUKO Round Seaming Pliers 45° bent";"11/16″ jaw width, lap joint ";"11/16″ jaw width, lap joint ";"77";"4x4x12";"12";"4";"4";"2";"1009869";"http://dev.sheridantools.com/img/products/1009869.jpg"
"";"Pliers";"15";"WUKO";"3";"WUKO Round Nose Pliers";"For precision sheet metal bending  ";"For precision sheet metal bending  ";"46";"4x4x8";"8";"4";"4";"1";"1004845";"http://dev.sheridantools.com/img/products/1004845.jpg"
"";"Pliers";"15";"WUKO";"3";"WUKO Flat Nose Pliers";"For precision sheet metal bending  ";"For precision sheet metal bending ";"46";"4x4x8";"8";"4";"4";"1";"1004852";"http://dev.sheridantools.com/img/products/1004852.jpg"
"";"Pliers";"15";"WUKO";"3";"WUKO Large Straight Seaming Pliers 24""";" 7 7/8"" jaw width, 6 7/8"" depth";" 7 7/8"" jaw width, 6 7/8"" depth";"202";"8x8x24";"24";"8";"8";"8";"1005180";"http://dev.sheridantools.com/img/products/1005180.jpg"
"";"Pliers";"15";"WUKO";"3";"WUKO Large Seaming Pliers 45° bent";"With box joint,  7  7/8"" jaw width, 6 7/8"" depth ";"With box joint,  7  7/8"" jaw width, 6 7/8"" depth ";"204";"8x8x24";"24";"8";"8";"8";"1012178";"http://dev.sheridantools.com/img/products/1012178.jpg"
"";"Pliers";"15";"WUKO";"3";"WUKO Large Seaming Pliers with radius";"Upper jaw round, lower jaw 45° skew 6  1/4"" jaw width, 6  7/8"" depth overall length 22 1/2"" ";"Upper jaw round, lower jaw 45° skew 6  1/4"" jaw width, 6  7/8"" depth overall length 22 1/2"" ";"239";"8x8x24";"24";"8";"8";"8";"1005198";"http://dev.sheridantools.com/img/products/1005198.jpg"
"";"Pliers";"15";"WUKO";"3";"WUKO Standing Seam Opener";"Forged from high quality steel, lap joint ";"Forged from high quality steel, lap joint ";"54";"4x4x8";"8";"4";"4";"1";"1004837";"http://dev.sheridantools.com/img/products/1004837.jpg"
